#,Target,Mode,IP,"URL Rating","Domain Rating","Ahrefs Rank",Domains,"Ref domains Dofollow","Ref domains Governmental","Ref domains Educational","Ref IPs","Ref SubNets","Linked Domains","Total Backlinks","Backlinks Text","Backlinks NoFollow","Backlinks Redirect","Backlinks Image","Backlinks Frame","Backlinks Form","Backlinks Governmental","Backlinks Educational","Total Keywords","Total Traffic"
149,GloboFunds.com,subdomains,15.197.148.33,,0.1,112630598,18,14,0,0,25,22,1,80,79,14,1,29,0,0,0,0,0,0
150,TheDarkArt.com,subdomains,,,6,32469138,38,36,0,0,49,36,0,1912,1912,3,0,37,0,0,0,0,0,0
151,alphre.com,subdomains,76.223.54.146,,1.1,71290100,12,8,0,0,13,12,9,20,20,7,0,2,0,0,0,0,0,0
152,Equites.com,subdomains,13.248.169.48,,12,19309341,23,16,0,0,34,32,21,777,769,18,8,668,0,0,0,0,1,0
153,SmallPlayerBigPlay.com,subdomains,,,1.6,63211327,10,8,0,0,11,11,3,907,907,5,0,897,0,0,0,0,0,0
154,Recipe2Cook.com,subdomains,76.223.54.146,,10,21343205,88,40,0,2,88,82,5,434,434,301,0,13,0,0,0,4,0,0
155,Psalmist.com,subdomains,13.248.169.48,,2.1,56421349,36,35,0,0,32,32,0,58,58,1,0,2,0,0,0,0,0,0
156,GlobalAffairs.com,subdomains,,,0.7,79636113,12,11,0,0,13,12,0,29,24,0,5,0,0,0,0,0,0,0
157,earnrupay.com,subdomains,,,0,,22,1,0,0,3,3,0,31,31,30,0,0,0,0,0,0,0,0
158,queenstownnz.com,subdomains,76.223.54.146,,2.6,51652264,27,23,0,0,22,21,0,41,41,11,0,0,0,0,0,0,0,0
159,rentatech.com,subdomains,,,1.2,68319512,11,4,0,0,14,14,0,19,19,13,0,0,0,0,0,0,0,0
160,FinanceBlogg.com,subdomains,,,35,2855148,348,341,0,4,222,183,1,2948,2948,40,0,1,0,0,0,48,0,0
161,secureserv.com.au,subdomains,15.197.148.33,,7,28191374,27,16,0,0,28,27,5,62,61,17,1,11,0,0,0,0,6,10
162,PokeGaming.com,subdomains,76.223.54.146,,0.7,77918491,22,8,0,0,22,21,17,198,198,140,0,9,0,0,0,0,2,0
163,OnMy.com,subdomains,74.208.124.79,,3.5,44681397,33,26,0,1,28,28,13,76,74,10,0,0,0,0,0,1,0,0
164,LoanCompass.com,subdomains,,,5,34903261,25,16,0,0,26,24,75,104,104,16,0,15,0,0,0,0,0,0
165,tagzme.com,subdomains,15.197.148.33,,9,24528149,8,3,0,0,9,9,0,311,311,301,0,10,0,0,0,0,0,0
166,TotalProvider.com,subdomains,,,0,155294989,2,2,0,0,2,2,0,8,8,2,0,5,0,0,0,0,0,0
167,AboutForex.com,subdomains,,,0.1,105096859,56,34,0,0,60,50,0,540,539,90,0,0,1,0,0,0,0,0
168,artissio.com,subdomains,209.99.64.51,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,SpecialsToday.com,subdomains,,,0,155282440,2,2,0,0,2,2,0,8,8,2,0,5,0,0,0,0,0,0
170,SurveyLot.com,subdomains,76.223.54.146,,1.9,58327597,88,73,0,0,73,64,0,918,914,26,0,2,2,0,0,0,0,0
171,the49ershub.com,subdomains,75.2.60.5,,8,25501511,63,48,0,1,70,66,62,266,266,50,0,6,0,0,0,1,10,0
172,rdr.cc,subdomains,47.243.91.117,,4.4,39727630,14,11,0,0,22,20,0,78,76,43,2,0,0,0,0,0,0,0
173,PrinevilleAirport.com,subdomains,173.231.228.235,,1.2,68370838,22,12,0,0,22,22,2,74,74,55,0,2,0,0,0,0,20,1
